CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
1816;ATENDIMENTO DE SAUDE AOS POLICIAIS MILITARES;14012930,549999986;14958308,960000012;0,0;0,0;0;0
5002;FOMENTO AO DESENVOLVIMENTO DAS ESTANCIAS;0;0;238515220,13999993;227666382,63000008;287793990,3599999;0
939;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM BOTUCATU;0;6541614,879999998;0,0;0,0;0;0
800;GESTAO PEDAGOGICA DA EDUCACAO BASICA;0;0;10752012461,759968;12376374960,160007;13078144804,149809;14493012338,40017
4407;TECNOLOGIA DA INFORMACAO E COMUNICACAO PARA EXCELENCIA DA GESTAO;508475453,27;640660413,869999;99285065,55999985;90623116,8499999;111667858,79999977;111232363,16999978
4004;GESTAO DO CENTRO DE ESTUDOS;7098696,079999998;5849730,87;7135054,389999999;9349908,590000002;8729498,270000001;0
942;GESTAO DA EDUCACAO E DO TRABALHO EM SAUDE;0;0;175099481,56999993;188650062,42999998;193349139,52000022;0
803;MELHORIA DA QUALIDADE DO ENSINO FUNDAMENTAL;6472159660,019983;7122537565,299966;0,0;0,0;0,0;0,0
1807;POLICIAMENTO OSTENSIVO;7015021290,559983;8093484652,959991;0,0;0,0;0,0;0
1213;GESTAO DE RECURSOS DA SECRETARIA DA CULTURA;43601894,99000003;44690786,049999975;96645310,49000005;177001277,22999993;69490203,30000003;0
1026;GESTAO DA POLITICA DE DESENVOLVIMENTO, CIENCIA, TECNOLOGIA E INOVACAO;38870000,0;7999992,0;44313920,0;13000000,0;13999049,98;16200000,0
1714;PERICIA JUDICIAL NA AREA DE MEDICINA LEGAL E DE INVESTIGACAO DE VINCULO GENETICO;0;0;0;0;0;21361480,58
2823;SISTEMA ESTADUAL DE CONTROLADORIA;523370,61;17802,59;11344,4;460285,73000000004;99667,27000000002;21042,37
3708;EXPANSAO, MODERNIZACAO E OPERACAO DO TRANSPORTE METROVIARIO - PITU EM MARCHA;238306500,0;266526000,0;274519200,0;285297000,0;1050993845,6500001;1487525572,02
4903;GESTAO DO FORNECIMENTO E UTILIZACAO DE ENERGIA ELETRICA;0;0;1310131,0;826062,9400000001;500000,0;0
5003;DESENVOLVIMENTO E PROMOCAO DO TURISMO NO ESTADO;0;0;9211668,949999997;9800987,799999997;12038377,800000004;10212118,360000001
1731;CIDADANIA NO CAMPO E NA CIDADE;0;0;0;0;0;67554098,00999999
933;CIENCIA, TECNOLOGIA E INOVACAO EM SAUDE;0;0;0;0;0;736150108,0600001
1701;INTEGRACAO DE SERVICOS NA AREA DA CIDADANIA;4898916,61;4598300,779999999;0,0;0;0;0
814;EXPANSAO, MELHORIA E REFORMA DA REDE FISICA ESCOLAR E ADMINISTRATIVA;977959921,2600005;555591483,53;946298183,5599995;1163881232,540002;0,0;0,0
2601;CONTROLE DO USO DOS RECURSOS NATURAIS;0,0;0,0;0,0;0;0;0
2603;GESTAO, PESQUISA, CONSERVACAO E RECUPERACAO DOS RECURSOS NATURAIS;0,0;0,0;0,0;0;0;0
3931;GESTAO ADMINISTRATIVA EM SANEAMENTO E RECURSOS HIDRICOS;295272160,66999984;331930997,9500003;329011989,5400002;362863174,9800006;365758428,07999974;368225555,2299999
4409;UM NOVO DETRAN PARA SAO PAULO;0;0;381528248,75;475945632,3900004;672418380,3500007;747460682,1700004
